iter	Accuracy	MultiClass
850	1	0.137380384
851	1	0.1370495288
852	1	0.1368255883
853	1	0.1365584214
854	1	0.1362704329
855	1	0.1360943661
856	1	0.1359564135
857	1	0.1358746451
858	1	0.1356773573
859	1	0.1354890122
860	1	0.135288097
861	1	0.1350085986
862	1	0.1349193894
863	1	0.1347348702
864	1	0.1345015828
865	1	0.1342620395
866	1	0.1341108518
867	1	0.1339763061
868	1	0.1337598075
869	1	0.1335777226
870	1	0.1334295074
871	1	0.1332564647
872	1	0.133175514
873	1	0.1329102528
874	1	0.1325814332
875	1	0.1323892908
876	1	0.1321391294
877	1	0.1319902193
878	1	0.1317371377
879	1	0.1315737001
880	1	0.1313954245
881	1	0.1312385894
882	1	0.1310935734
883	1	0.1308605345
884	1	0.1306639508
885	1	0.1304382611
886	1	0.1303271532
887	1	0.130222394
888	1	0.1300926184
889	1	0.1298270774
890	1	0.1296284121
891	1	0.1294257566
892	1	0.1292014677
893	1	0.1289405226
894	1	0.1286171162
895	1	0.128483536
896	1	0.1283367838
897	1	0.1281664546
898	1	0.127911626
899	1	0.1277207435
900	1	0.1275710446
901	1	0.127265225
902	1	0.1271202009
903	1	0.1268906355
904	1	0.1266613243
905	1	0.1264729305
906	1	0.126300886
907	1	0.1261001054
908	1	0.1259736767
909	1	0.125797345
910	1	0.1255431933
911	1	0.1252826131
912	1	0.1251042756
913	1	0.1248286304
914	1	0.1246630511
915	1	0.1245393542
916	1	0.1242264043
917	1	0.1240373069
918	1	0.1239020567
919	1	0.1236601439
920	1	0.1233335252
921	1	0.1232035875
922	1	0.1228792067
923	1	0.1227743347
924	1	0.1225798412
925	1	0.1224016987
926	1	0.1222679903
927	1	0.1220540017
928	1	0.1218220894
929	1	0.1216965854
930	1	0.1215690406
931	1	0.1214084565
932	1	0.1213401734
933	1	0.1211065274
934	1	0.1210284669
935	1	0.1208832599
936	1	0.1206790786
937	1	0.1205352442
938	1	0.1203479338
939	1	0.1201371335
940	1	0.1199664206
941	1	0.1197116223
942	1	0.1195662061
943	1	0.1193967948
944	1	0.1192146517
945	1	0.1191118131
946	1	0.1190288302
947	1	0.1188361446
948	1	0.1185760799
949	1	0.1183060095
950	1	0.1181409489
951	1	0.1180039384
952	1	0.1179067267
953	1	0.1176909847
954	1	0.1175184457
955	1	0.1173161407
956	1	0.1171145957
957	1	0.1169271101
958	1	0.1167656834
959	1	0.1165805049
960	1	0.1164078608
961	1	0.1161421661
962	1	0.115976089
963	1	0.1159129365
964	1	0.1158031843
965	1	0.1156522287
966	1	0.1154242402
967	1	0.1151796115
968	1	0.1149836081
969	1	0.1148332137
970	1	0.1146949916
971	1	0.1145469004
972	1	0.1143736234
973	1	0.114130175
974	1	0.1139627253
975	1	0.1138103224
976	1	0.1136236012
977	1	0.1134899231
978	1	0.1133731357
979	1	0.1131754291
980	1	0.1130797008
981	1	0.1128765399
982	1	0.1127659128
983	1	0.1125894248
984	1	0.1124138266
985	1	0.1121904033
986	1	0.1120715263
987	1	0.1119836136
988	1	0.1118123584
989	1	0.1116645714
990	1	0.1114980232
991	1	0.1113661046
992	1	0.1111431605
993	1	0.1109534167
994	1	0.1108192967
995	1	0.1106942253
996	1	0.1105336715
997	1	0.1104140333
998	1	0.1103088487
999	1	0.1101379968
